GEOID,YEAR,Income,Rent as % of Income,HHs
13089020100,2015,"$50,000 to $74,999",50.0 percent or more,0
13089020100,2015,"$75,000 to $99,999",Less than 20.0 percent,0
13089020100,2015,"$75,000 to $99,999",20.0 to 24.9 percent,0
13089020100,2015,"$75,000 to $99,999",25.0 to 29.9 percent,0
13089020100,2015,"$75,000 to $99,999",30.0 to 34.9 percent,0
13089020100,2015,"$75,000 to $99,999",35.0 to 39.9 percent,0
13089020100,2015,"$75,000 to $99,999",40.0 to 49.9 percent,0
13089020100,2015,"$75,000 to $99,999",50.0 percent or more,0
13089020100,2015,"$100,000 or more",Less than 20.0 percent,34
13089020100,2015,"$100,000 or more",20.0 to 24.9 percent,6
13089020100,2015,"$100,000 or more",25.0 to 29.9 percent,0
13089020100,2015,"$100,000 or more",30.0 to 34.9 percent,6
13089020100,2015,"$100,000 or more",35.0 to 39.9 percent,0
13089020100,2015,"$100,000 or more",40.0 to 49.9 percent,0
13089020100,2015,"$100,000 or more",50.0 percent or more,0
13089020100,2016,"Less than $10,000",Less than 20.0 percent,0
13089020100,2016,"Less than $10,000",20.0 to 24.9 percent,0
13089020100,2016,"Less than $10,000",25.0 to 29.9 percent,0
13089020100,2016,"Less than $10,000",30.0 to 34.9 percent,0
13089020100,2016,"Less than $10,000",35.0 to 39.9 percent,0
13089020100,2016,"Less than $10,000",40.0 to 49.9 percent,0
13089020100,2016,"Less than $10,000",50.0 percent or more,0
13089020100,2016,"$10,000 to $19,999",Less than 20.0 percent,0
13089020100,2016,"$10,000 to $19,999",20.0 to 24.9 percent,0
13089020100,2016,"$10,000 to $19,999",25.0 to 29.9 percent,0
13089020100,2016,"$10,000 to $19,999",30.0 to 34.9 percent,0
13089020100,2016,"$10,000 to $19,999",35.0 to 39.9 percent,0
13089020100,2016,"$10,000 to $19,999",40.0 to 49.9 percent,0
13089020100,2016,"$10,000 to $19,999",50.0 percent or more,0
13089020100,2016,"$20,000 to $34,999",Less than 20.0 percent,0
13089020100,2016,"$20,000 to $34,999",20.0 to 24.9 percent,0
13089020100,2016,"$20,000 to $34,999",25.0 to 29.9 percent,0
13089020100,2016,"$20,000 to $34,999",30.0 to 34.9 percent,0
13089020100,2016,"$20,000 to $34,999",35.0 to 39.9 percent,0
13089020100,2016,"$20,000 to $34,999",40.0 to 49.9 percent,5
13089020100,2016,"$20,000 to $34,999",50.0 percent or more,17
13089020100,2016,"$35,000 to $49,999",Less than 20.0 percent,0
13089020100,2016,"$35,000 to $49,999",20.0 to 24.9 percent,26
13089020100,2016,"$35,000 to $49,999",25.0 to 29.9 percent,0
13089020100,2016,"$35,000 to $49,999",30.0 to 34.9 percent,0
13089020100,2016,"$35,000 to $49,999",35.0 to 39.9 percent,6
13089020100,2016,"$35,000 to $49,999",40.0 to 49.9 percent,0
13089020100,2016,"$35,000 to $49,999",50.0 percent or more,0
13089020100,2016,"$50,000 to $74,999",Less than 20.0 percent,0
13089020100,2016,"$50,000 to $74,999",20.0 to 24.9 percent,0
13089020100,2016,"$50,000 to $74,999",25.0 to 29.9 percent,0
13089020100,2016,"$50,000 to $74,999",30.0 to 34.9 percent,7
13089020100,2016,"$50,000 to $74,999",35.0 to 39.9 percent,44
13089020100,2016,"$50,000 to $74,999",40.0 to 49.9 percent,7
13089020100,2016,"$50,000 to $74,999",50.0 percent or more,0
13089020100,2016,"$75,000 to $99,999",Less than 20.0 percent,5
13089020100,2016,"$75,000 to $99,999",20.0 to 24.9 percent,0
13089020100,2016,"$75,000 to $99,999",25.0 to 29.9 percent,0
13089020100,2016,"$75,000 to $99,999",30.0 to 34.9 percent,0
13089020100,2016,"$75,000 to $99,999",35.0 to 39.9 percent,0
13089020100,2016,"$75,000 to $99,999",40.0 to 49.9 percent,0
13089020100,2016,"$75,000 to $99,999",50.0 percent or more,0
13089020100,2016,"$100,000 or more",Less than 20.0 percent,67
13089020100,2016,"$100,000 or more",20.0 to 24.9 percent,6
13089020100,2016,"$100,000 or more",25.0 to 29.9 percent,0
13089020100,2016,"$100,000 or more",30.0 to 34.9 percent,7
13089020100,2016,"$100,000 or more",35.0 to 39.9 percent,0
13089020100,2016,"$100,000 or more",40.0 to 49.9 percent,0
13089020100,2016,"$100,000 or more",50.0 percent or more,0
13089020100,2017,"Less than $10,000",Less than 20.0 percent,0
13089020100,2017,"Less than $10,000",20.0 to 24.9 percent,0
13089020100,2017,"Less than $10,000",25.0 to 29.9 percent,0
13089020100,2017,"Less than $10,000",30.0 to 34.9 percent,0
13089020100,2017,"Less than $10,000",35.0 to 39.9 percent,0
13089020100,2017,"Less than $10,000",40.0 to 49.9 percent,0
13089020100,2017,"Less than $10,000",50.0 percent or more,8
13089020100,2017,"$10,000 to $19,999",Less than 20.0 percent,0
13089020100,2017,"$10,000 to $19,999",20.0 to 24.9 percent,0
13089020100,2017,"$10,000 to $19,999",25.0 to 29.9 percent,0
13089020100,2017,"$10,000 to $19,999",30.0 to 34.9 percent,0
13089020100,2017,"$10,000 to $19,999",35.0 to 39.9 percent,0
13089020100,2017,"$10,000 to $19,999",40.0 to 49.9 percent,0
13089020100,2017,"$10,000 to $19,999",50.0 percent or more,0
13089020100,2017,"$20,000 to $34,999",Less than 20.0 percent,0
13089020100,2017,"$20,000 to $34,999",20.0 to 24.9 percent,0
13089020100,2017,"$20,000 to $34,999",25.0 to 29.9 percent,0
13089020100,2017,"$20,000 to $34,999",30.0 to 34.9 percent,0
13089020100,2017,"$20,000 to $34,999",35.0 to 39.9 percent,0
13089020100,2017,"$20,000 to $34,999",40.0 to 49.9 percent,4
13089020100,2017,"$20,000 to $34,999",50.0 percent or more,13
13089020100,2017,"$35,000 to $49,999",Less than 20.0 percent,0
13089020100,2017,"$35,000 to $49,999",20.0 to 24.9 percent,18
13089020100,2017,"$35,000 to $49,999",25.0 to 29.9 percent,0
13089020100,2017,"$35,000 to $49,999",30.0 to 34.9 percent,0
13089020100,2017,"$35,000 to $49,999",35.0 to 39.9 percent,4
13089020100,2017,"$35,000 to $49,999",40.0 to 49.9 percent,0
13089020100,2017,"$35,000 to $49,999",50.0 percent or more,0
13089020100,2017,"$50,000 to $74,999",Less than 20.0 percent,0
13089020100,2017,"$50,000 to $74,999",20.0 to 24.9 percent,0
13089020100,2017,"$50,000 to $74,999",25.0 to 29.9 percent,0
13089020100,2017,"$50,000 to $74,999",30.0 to 34.9 percent,0
13089020100,2017,"$50,000 to $74,999",35.0 to 39.9 percent,0
13089020100,2017,"$50,000 to $74,999",40.0 to 49.9 percent,7
13089020100,2017,"$50,000 to $74,999",50.0 percent or more,0
13089020100,2017,"$75,000 to $99,999",Less than 20.0 percent,12
13089020100,2017,"$75,000 to $99,999",20.0 to 24.9 percent,0
13089020100,2017,"$75,000 to $99,999",25.0 to 29.9 percent,0
13089020100,2017,"$75,000 to $99,999",30.0 to 34.9 percent,0
13089020100,2017,"$75,000 to $99,999",35.0 to 39.9 percent,29
13089020100,2017,"$75,000 to $99,999",40.0 to 49.9 percent,0
13089020100,2017,"$75,000 to $99,999",50.0 percent or more,0
13089020100,2017,"$100,000 or more",Less than 20.0 percent,60
13089020100,2017,"$100,000 or more",20.0 to 24.9 percent,12
13089020100,2017,"$100,000 or more",25.0 to 29.9 percent,0
13089020100,2017,"$100,000 or more",30.0 to 34.9 percent,5
13089020100,2017,"$100,000 or more",35.0 to 39.9 percent,0
13089020100,2017,"$100,000 or more",40.0 to 49.9 percent,0
13089020100,2017,"$100,000 or more",50.0 percent or more,0
13089020200,2014,"Less than $10,000",Less than 20.0 percent,0
13089020200,2014,"Less than $10,000",20.0 to 24.9 percent,0
13089020200,2014,"Less than $10,000",25.0 to 29.9 percent,0
13089020200,2014,"Less than $10,000",30.0 to 34.9 percent,0
13089020200,2014,"Less than $10,000",35.0 to 39.9 percent,0
13089020200,2014,"Less than $10,000",40.0 to 49.9 percent,0
13089020200,2014,"Less than $10,000",50.0 percent or more,28
13089020200,2014,"$10,000 to $19,999",Less than 20.0 percent,0
13089020200,2014,"$10,000 to $19,999",20.0 to 24.9 percent,0
13089020200,2014,"$10,000 to $19,999",25.0 to 29.9 percent,6
13089020200,2014,"$10,000 to $19,999",30.0 to 34.9 percent,0
13089020200,2014,"$10,000 to $19,999",35.0 to 39.9 percent,0
13089020200,2014,"$10,000 to $19,999",40.0 to 49.9 percent,0
13089020200,2014,"$10,000 to $19,999",50.0 percent or more,47
13089020200,2014,"$20,000 to $34,999",Less than 20.0 percent,0
13089020200,2014,"$20,000 to $34,999",20.0 to 24.9 percent,0
13089020200,2014,"$20,000 to $34,999",25.0 to 29.9 percent,42
13089020200,2014,"$20,000 to $34,999",30.0 to 34.9 percent,0
13089020200,2014,"$20,000 to $34,999",35.0 to 39.9 percent,8
13089020200,2014,"$20,000 to $34,999",40.0 to 49.9 percent,30
13089020200,2014,"$20,000 to $34,999",50.0 percent or more,0
13089020200,2014,"$35,000 to $49,999",Less than 20.0 percent,0
13089020200,2014,"$35,000 to $49,999",20.0 to 24.9 percent,26
13089020200,2014,"$35,000 to $49,999",25.0 to 29.9 percent,35
13089020200,2014,"$35,000 to $49,999",30.0 to 34.9 percent,8
13089020200,2014,"$35,000 to $49,999",35.0 to 39.9 percent,8
13089020200,2014,"$35,000 to $49,999",40.0 to 49.9 percent,0
13089020200,2014,"$35,000 to $49,999",50.0 percent or more,0
13089020200,2014,"$50,000 to $74,999",Less than 20.0 percent,17
13089020200,2014,"$50,000 to $74,999",20.0 to 24.9 percent,30
13089020200,2014,"$50,000 to $74,999",25.0 to 29.9 percent,8
13089020200,2014,"$50,000 to $74,999",30.0 to 34.9 percent,6
13089020200,2014,"$50,000 to $74,999",35.0 to 39.9 percent,0
13089020200,2014,"$50,000 to $74,999",40.0 to 49.9 percent,0
13089020200,2014,"$50,000 to $74,999",50.0 percent or more,0
13089020200,2014,"$75,000 to $99,999",Less than 20.0 percent,53
13089020200,2014,"$75,000 to $99,999",20.0 to 24.9 percent,0
13089020200,2014,"$75,000 to $99,999",25.0 to 29.9 percent,0
13089020200,2014,"$75,000 to $99,999",30.0 to 34.9 percent,0
13089020200,2014,"$75,000 to $99,999",35.0 to 39.9 percent,0
13089020200,2014,"$75,000 to $99,999",40.0 to 49.9 percent,0
13089020200,2014,"$75,000 to $99,999",50.0 percent or more,0
13089020200,2014,"$100,000 or more",Less than 20.0 percent,63
13089020200,2014,"$100,000 or more",20.0 to 24.9 percent,39
13089020200,2014,"$100,000 or more",25.0 to 29.9 percent,0
13089020200,2014,"$100,000 or more",30.0 to 34.9 percent,0
13089020200,2014,"$100,000 or more",35.0 to 39.9 percent,0
13089020200,2014,"$100,000 or more",40.0 to 49.9 percent,0
13089020200,2014,"$100,000 or more",50.0 percent or more,0
13089020200,2015,"Less than $10,000",Less than 20.0 percent,0
13089020200,2015,"Less than $10,000",20.0 to 24.9 percent,0
13089020200,2015,"Less than $10,000",25.0 to 29.9 percent,0
13089020200,2015,"Less than $10,000",30.0 to 34.9 percent,0
13089020200,2015,"Less than $10,000",35.0 to 39.9 percent,0
13089020200,2015,"Less than $10,000",40.0 to 49.9 percent,0
13089020200,2015,"Less than $10,000",50.0 percent or more,32
13089020200,2015,"$10,000 to $19,999",Less than 20.0 percent,0
13089020200,2015,"$10,000 to $19,999",20.0 to 24.9 percent,0
13089020200,2015,"$10,000 to $19,999",25.0 to 29.9 percent,7
13089020200,2015,"$10,000 to $19,999",30.0 to 34.9 percent,0
13089020200,2015,"$10,000 to $19,999",35.0 to 39.9 percent,0
13089020200,2015,"$10,000 to $19,999",40.0 to 49.9 percent,0
13089020200,2015,"$10,000 to $19,999",50.0 percent or more,48
13089020200,2015,"$20,000 to $34,999",Less than 20.0 percent,0
13089020200,2015,"$20,000 to $34,999",20.0 to 24.9 percent,0
13089020200,2015,"$20,000 to $34,999",25.0 to 29.9 percent,35
13089020200,2015,"$20,000 to $34,999",30.0 to 34.9 percent,0
13089020200,2015,"$20,000 to $34,999",35.0 to 39.9 percent,8
13089020200,2015,"$20,000 to $34,999",40.0 to 49.9 percent,27
13089020200,2015,"$20,000 to $34,999",50.0 percent or more,0
13089020200,2015,"$35,000 to $49,999",Less than 20.0 percent,0
13089020200,2015,"$35,000 to $49,999",20.0 to 24.9 percent,6
13089020200,2015,"$35,000 to $49,999",25.0 to 29.9 percent,0
13089020200,2015,"$35,000 to $49,999",30.0 to 34.9 percent,8
13089020200,2015,"$35,000 to $49,999",35.0 to 39.9 percent,8
13089020200,2015,"$35,000 to $49,999",40.0 to 49.9 percent,0
13089020200,2015,"$35,000 to $49,999",50.0 percent or more,0
13089020200,2015,"$50,000 to $74,999",Less than 20.0 percent,54
13089020200,2015,"$50,000 to $74,999",20.0 to 24.9 percent,18
13089020200,2015,"$50,000 to $74,999",25.0 to 29.9 percent,31
13089020200,2015,"$50,000 to $74,999",30.0 to 34.9 percent,7
13089020200,2015,"$50,000 to $74,999",35.0 to 39.9 percent,0
13089020200,2015,"$50,000 to $74,999",40.0 to 49.9 percent,0
13089020200,2015,"$50,000 to $74,999",50.0 percent or more,0
13089020200,2015,"$75,000 to $99,999",Less than 20.0 percent,47
13089020200,2015,"$75,000 to $99,999",20.0 to 24.9 percent,0
13089020200,2015,"$75,000 to $99,999",25.0 to 29.9 percent,0
13089020200,2015,"$75,000 to $99,999",30.0 to 34.9 percent,0
13089020200,2015,"$75,000 to $99,999",35.0 to 39.9 percent,0
13089020200,2015,"$75,000 to $99,999",40.0 to 49.9 percent,0
13089020200,2015,"$75,000 to $99,999",50.0 percent or more,0
13089020200,2015,"$100,000 or more",Less than 20.0 percent,79
13089020200,2015,"$100,000 or more",20.0 to 24.9 percent,32
13089020200,2015,"$100,000 or more",25.0 to 29.9 percent,0
13089020200,2015,"$100,000 or more",30.0 to 34.9 percent,0
13089020200,2015,"$100,000 or more",35.0 to 39.9 percent,0
13089020200,2015,"$100,000 or more",40.0 to 49.9 percent,0
13089020200,2015,"$100,000 or more",50.0 percent or more,0
13089020200,2016,"Less than $10,000",Less than 20.0 percent,0
13089020200,2016,"Less than $10,000",20.0 to 24.9 percent,0
13089020200,2016,"Less than $10,000",25.0 to 29.9 percent,0
13089020200,2016,"Less than $10,000",30.0 to 34.9 percent,0
13089020200,2016,"Less than $10,000",35.0 to 39.9 percent,0
13089020200,2016,"Less than $10,000",40.0 to 49.9 percent,0
13089020200,2016,"Less than $10,000",50.0 percent or more,31
13089020200,2016,"$10,000 to $19,999",Less than 20.0 percent,0
13089020200,2016,"$10,000 to $19,999",20.0 to 24.9 percent,0
13089020200,2016,"$10,000 to $19,999",25.0 to 29.9 percent,0
13089020200,2016,"$10,000 to $19,999",30.0 to 34.9 percent,0
13089020200,2016,"$10,000 to $19,999",35.0 to 39.9 percent,0
13089020200,2016,"$10,000 to $19,999",40.0 to 49.9 percent,0
13089020200,2016,"$10,000 to $19,999",50.0 percent or more,32
13089020200,2016,"$20,000 to $34,999",Less than 20.0 percent,0
13089020200,2016,"$20,000 to $34,999",20.0 to 24.9 percent,0
13089020200,2016,"$20,000 to $34,999",25.0 to 29.9 percent,29
13089020200,2016,"$20,000 to $34,999",30.0 to 34.9 percent,0
13089020200,2016,"$20,000 to $34,999",35.0 to 39.9 percent,7
13089020200,2016,"$20,000 to $34,999",40.0 to 49.9 percent,29
13089020200,2016,"$20,000 to $34,999",50.0 percent or more,0
13089020200,2016,"$35,000 to $49,999",Less than 20.0 percent,0
